RED (DN),NIR (DN),Green (DN),ndvi,RH (%),Temp (C),Nitrogen (ppm)
47.88,328.05,54.9,0.74,33.8,23.2,1156.89
51.99,329.97,56.5,0.72,33.8,23.2,1118.38
52.37,325.9,56.14,0.72,33.8,23.2,1079.95
55.81,200.32,43.11,0.56,33.8,23.2,466.82
59.3,209.11,45.47,0.55,33.8,23.2,462.82
56.36,208.75,44.72,0.57,33.8,23.2,459.04
74.64,223.63,52.27,0.5,33.8,23.2,1110.15
78.95,229.52,54.5,0.49,33.8,23.2,1073.99
79.21,230.47,55.09,0.49,33.8,23.2,1039.71
85.53,226.03,55.86,0.44,33.8,23.2,996.15
98.47,238.19,61.73,0.41,33.8,23.2,965.72
102.15,247.7,64.07,0.41,33.8,23.2,936.81
44.84,287.68,49.64,0.73,33.8,23.2,1013.97
47.37,312.47,53.44,0.74,33.8,23.2,982.64
48.64,323.58,55.13,0.74,33.8,23.2,952.89
47.84,339.04,56.6,0.75,33.8,23.2,739.38
47.6,381.57,61.43,0.78,33.8,23.2,721.78
48.77,391.88,62.88,0.78,33.8,23.2,705.1
99.79,256.35,58.14,0.49,46.2,24.1,1190.11
104.66,265.32,59.71,0.49,46.2,24.1,1150.09
104.12,268.98,63.05,0.46,46.2,24.1,1112.19
46.67,311.63,52.52,0.72,46.2,24.1,909.48
43.28,358.41,57.92,0.75,46.2,24.1,883.35
41.69,354.49,56.49,0.76,46.2,24.1,858.59
65.41,308.62,57.18,0.67,46.2,24.1,736.13
70.86,338.76,59.38,0.7,46.2,24.1,718.69
78.54,353.09,59.3,0.74,46.2,24.1,702.15
39.49,260.42,63.32,0.46,46.2,24.1,714.99
51.39,264.63,66.37,0.44,46.2,24.1,699.59
56.5,269.17,66.83,0.45,46.2,24.1,684.03
55.99,311.83,51.53,0.76,46.2,24.1,755.98
63.82,325.55,51.81,0.79,46.2,24.1,737.56
66.8,336.38,54.13,0.78,46.2,24.1,720.12
48.12,349.84,59.99,0.73,46.2,24.1,1503.43
51.06,387.93,62.34,0.77,46.2,24.1,1447.56
49.63,400.78,63.2,0.78,46.2,24.1,1394.71
99.95,277.48,66.28,0.46,57.6,24.8,788.98
104.13,271.61,67.01,0.44,57.6,24.8,780.98
102.69,263.35,65.67,0.43,57.6,24.8,777.05
44.99,318.1,52.71,0.73,57.6,24.8,635.49
41.99,318.73,51.85,0.75,57.6,24.8,623.03
40.22,294.12,48.77,0.75,57.6,24.8,599.47
66.78,265.91,54.33,0.58,57.6,24.8,553.12
76.19,305.64,61.84,0.59,57.6,24.8,544.81
78.82,315.68,63.89,0.59,57.6,24.8,532.28
39.91,301.39,49.75,0.76,57.6,24.8,546.1
57.28,320.28,57.9,0.69,57.6,24.8,539
56.41,325.96,58.54,0.7,57.6,24.8,530.62
57.3,227.48,46.38,0.59,57.6,24.8,571.77
66.44,256.15,52.73,0.59,57.6,24.8,562.55
66.61,254.53,52.76,0.58,57.6,24.8,548.59
48.11,233.98,44.48,0.65,57.6,24.8,939.75
50.5,258.24,47.95,0.66,57.6,24.8,917.71
49.29,273.04,49.43,0.68,57.6,24.8,875.35
